ctryname,year,cowcode,illtreatment,RstrctAccess,wdi_aid,wdi_gr,wdi_pop,van_index,cyear,dumAsia,dumAfrica,dumEurope,dumNAmerica,dumLAmerica,lngdp,polity2,polity.category,illtrmt.category,region
Cuba,2002,40,7,1,98380000,NA,11138855,0,402002,0,0,0,0,1,NA,-7,Autocracy,Middle,Latin America
Cuba,2003,40,17,1,95560000,NA,11161419,0,402003,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,2004,40,16,1,121090000,NA,11179849,0,402004,0,0,0,0,1,NA,-7,Autocracy,High,Latin America
Cuba,2005,40,1,0,98990000,NA,11193192,NA,402005,0,0,0,0,1,NA,-7,Autocracy,Low,Latin America
Haiti,1995,41,1,0,933910000,NA,7860725,0.60000002384,411995,0,0,0,0,1,22.884456635,7,Democracy,Low,Latin America
Haiti,1996,41,7,0,472580000,NA,8016832,0.60000002384,411996,0,0,0,0,1,22.924993515,7,Democracy,Middle,Latin America
Haiti,1997,41,1,0,441010000,NA,8174788,0.60000002384,411997,0,0,0,0,1,22.951696396,7,Democracy,Low,Latin America
Haiti,1998,41,2,0,569580000,NA,8333515,0.60000002384,411998,0,0,0,0,1,22.973299026,7,Democracy,Middle,Latin America
Haiti,1999,41,1,0,359280000,NA,8491550,0.60000002384,411999,0,0,0,0,1,23.00006485,2,Anocracy,Low,Latin America
,2000,41,NA,NA,NA,NA,NA,NA,412000,0,0,0,0,0,NA,NA,NA,NA,NA
,2001,41,NA,NA,NA,NA,NA,NA,412001,0,0,0,0,0,NA,NA,NA,NA,NA
Haiti,2002,41,0,0,210210000,NA,8954225,2.9000000954,412002,0,0,0,0,1,22.995677948,-2,Anocracy,Low,Latin America
Haiti,2003,41,1,0,258550000,NA,9105487,2.9000000954,412003,0,0,0,0,1,22.999296188,-2,Anocracy,Low,Latin America
Haiti,2004,41,2,0,301150000,NA,9257096,0,412004,0,0,0,0,1,22.963472366,0,Anocracy,Middle,Latin America
Haiti,2005,41,0,0,495700000,NA,9409991,NA,412005,0,0,0,0,1,22.981309891,3,Anocracy,Low,Latin America
Dominican Republic,1995,42,2,0,125070000,NA,8123665,14.699999809,421995,0,0,0,0,1,24.295711517,5,Anocracy,Middle,Latin America
Dominican Republic,1996,42,2,0,121010000,NA,8268094,17.799999237,421996,0,0,0,0,1,24.364597321,8,Democracy,NA,Latin America
Dominican Republic,1997,42,2,0,99350000,NA,8409983,17.799999237,421997,0,0,0,0,1,24.441596985,8,Democracy,NA,Latin America
Dominican Republic,1998,42,1,0,168650000,NA,8550144,17.799999237,421998,0,0,0,0,1,24.509355545,8,Democracy,Low,Latin America
Dominican Republic,1999,42,1,0,266580000,NA,8689797,17.799999237,421999,0,0,0,0,1,24.574350357,8,Democracy,Low,Latin America
Dominican Republic,2000,42,2,0,81880000,NA,8829829,19.100000381,422000,0,0,0,0,1,24.62937355,8,Democracy,NA,Latin America
Dominican Republic,2001,42,0,0,140610000,NA,8970376,19.100000381,422001,0,0,0,0,1,24.647304535,8,Democracy,Low,Latin America
,2002,42,NA,NA,NA,NA,NA,NA,422002,0,0,0,0,0,NA,NA,NA,NA,NA
Dominican Republic,2003,42,1,0,83490000,NA,9252034,19.100000381,422003,0,0,0,0,1,24.701036453,8,Democracy,Low,Latin America
Dominican Republic,2004,42,0,0,98700000,14.247373526,9392871,17.899999619,422004,0,0,0,0,1,24.714071274,8,Democracy,Low,Latin America
,2005,42,NA,NA,NA,NA,NA,NA,422005,0,0,0,0,0,NA,NA,NA,NA,NA
Jamaica,1995,51,1,0,138900000,NA,2480000,11,511995,0,0,0,0,1,23.568666458,9,Democracy,Low,Latin America
Jamaica,1996,51,0,0,71880000,NA,2509923.4251,11,511996,0,0,0,0,1,23.567527771,9,Democracy,Low,Latin America
Jamaica,1997,51,5,0,100730000,NA,2534068.6751,12.699999809,511997,0,0,0,0,1,23.556058884,9,Democracy,NA,Latin America
Jamaica,1998,51,0,0,27150000,NA,2556780.0512,12.699999809,511998,0,0,0,0,1,23.532436371,9,Democracy,Low,Latin America
Jamaica,1999,51,2,0,-22350000,NA,2574289.3641,12.699999809,511999,0,0,0,0,1,23.542858124,9,Democracy,NA,Latin America
Jamaica,2000,51,2,0,37520000,NA,2589388.5514,12.699999809,512000,0,0,0,0,1,23.551607132,9,Democracy,NA,Latin America
Jamaica,2001,51,12,0,102290000,NA,2604788.6191,12.699999809,512001,0,0,0,0,1,23.564966202,9,Democracy,High,Latin America
Jamaica,2002,51,1,0,45170000,NA,2617495.2244,13.100000381,512002,0,0,0,0,1,23.574623108,9,Democracy,Low,Latin America
Jamaica,2003,51,0,0,14280000,NA,2625700,13.100000381,512003,0,0,0,0,1,23.623723984,9,Democracy,Low,Latin America
Jamaica,2004,51,1,0,101860000,31.448483428,2638100,13.100000381,512004,0,0,0,0,1,23.637556076,9,Democracy,Low,Latin America
Jamaica,2005,51,0,0,48480000,30.943808131,2650400,NA,512005,0,0,0,0,1,23.647800446,9,Democracy,Low,Latin America
Mexico,1995,70,14,0,332080000,15.271206998,91145000,19.799999237,701995,0,0,0,0,1,27.533216476,4,Anocracy,High,Latin America
Mexico,1996,70,35,0,270890000,15.192960368,92570752,19.799999237,701996,0,0,0,0,1,27.583337784,4,Anocracy,High,Latin America
Mexico,1997,70,38,0,120410000,14.711710901,93926296,19.799999237,701997,0,0,0,0,1,27.648897171,6,Democracy,High,Latin America
Mexico,1998,70,17,1,55100000,13.019505652,95251064,19.799999237,701998,0,0,0,0,1,27.696796417,6,Democracy,High,Latin America
Mexico,1999,70,21,1,65460000,13.782386418,96584488,19.799999237,701999,0,0,0,0,1,27.734798431,6,Democracy,High,Latin America
Mexico,2000,70,28,1,-37870000,14.74461608,97966000,21.200000763,702000,0,0,0,0,1,27.798728943,8,Democracy,High,Latin America
Mexico,2001,70,16,1,170700000,NA,98994087.384,21.200000763,702001,0,0,0,0,1,27.797159195,8,Democracy,High,Latin America
Mexico,2002,70,11,1,158290000,NA,100002340.27,21.200000763,702002,0,0,0,0,1,27.805391312,8,Democracy,High,Latin America
Mexico,2003,70,4,1,140040000,NA,101020862.19,21.200000763,702003,0,0,0,0,1,27.818817139,8,Democracy,NA,Latin America
Mexico,2004,70,15,1,117350000,NA,102049757.74,21.200000763,702004,0,0,0,0,1,27.85815239,8,Democracy,High,Latin America
Mexico,2005,70,8,1,191360000,NA,103089132.56,NA,702005,0,0,0,0,1,27.889652252,8,Democracy,High,Latin America
Guatemala,1995,90,2,0,248780000,8.3657781309,10006653,0,901995,0,0,0,0,1,24.324892044,3,Anocracy,Middle,Latin America
Guatemala,1996,90,3,0,235230000,8.8450225003,10238102,5.9000000954,901996,0,0,0,0,1,24.354042053,8,Democracy,NA,Latin America
Guatemala,1997,90,1,0,357680000,8.9249635281,10473834,5.9000000954,901997,0,0,0,0,1,24.396757126,8,Democracy,Low,Latin America
Guatemala,1998,90,0,0,324220000,9.5317033274,10716036,5.9000000954,901998,0,0,0,0,1,24.445486069,8,Democracy,Low,Latin America
Guatemala,1999,90,2,0,387750000,10.323847152,10967633,7.6999998093,901999,0,0,0,0,1,24.483234406,8,Democracy,NA,Latin America
Guatemala,2000,90,0,0,356490000,10.154456412,11230704,6.0999999046,902000,0,0,0,0,1,24.518688202,8,Democracy,Low,Latin America
Guatemala,2001,90,1,0,333830000,11.991987906,11506144,6.0999999046,902001,0,0,0,0,1,24.541744232,8,Democracy,Low,Latin America
Guatemala,2002,90,2,0,352540000,12.492228018,11793335,6.0999999046,902002,0,0,0,0,1,24.579683304,8,Democracy,NA,Latin America
Guatemala,2003,90,1,0,301300000,12.248183075,12090955,8.3000001907,902003,0,0,0,0,1,24.604675293,8,Democracy,Low,Latin America
Guatemala,2004,90,0,0,247270000,12.117757762,12396934,8.3000001907,902004,0,0,0,0,1,24.635709763,8,Democracy,Low,Latin America
Guatemala,2005,90,1,0,285490000,11.748341227,12709738,NA,902005,0,0,0,0,1,24.667791367,8,Democracy,Low,Latin America
Honduras,1995,91,1,0,472230000,NA,5587997,14.399999619,911995,0,0,0,0,1,23.461790085,6,Democracy,Low,Latin America
Honduras,1996,91,2,0,426290000,NA,5719352,14.399999619,911996,0,0,0,0,1,23.497112274,6,Democracy,Middle,Latin America
Honduras,1997,91,2,0,394830000,NA,5848074,15.600000381,911997,0,0,0,0,1,23.545841217,6,Democracy,Middle,Latin America
Honduras,1998,91,0,0,439930000,NA,5975159,15.600000381,911998,0,0,0,0,1,23.574443817,6,Democracy,Low,Latin America
Honduras,1999,91,1,0,1092250000,NA,6102074,15.600000381,911999,0,0,0,0,1,23.555368423,7,Democracy,Low,Latin America
,2000,91,NA,NA,NA,NA,NA,NA,912000,0,0,0,0,0,NA,NA,NA,NA,NA
Honduras,2001,91,1,0,941670000,NA,6359157,15.300000191,912001,0,0,0,0,1,23.638126373,7,Democracy,Low,Latin America
Honduras,2002,91,0,0,633460000,NA,6489560,15.300000191,912002,0,0,0,0,1,23.674982071,7,Democracy,Low,Latin America
Honduras,2003,91,1,0,487700000,19.955490231,6621657,15.300000191,912003,0,0,0,0,1,23.719449997,7,Democracy,Low,Latin America
Honduras,2004,91,1,0,745960000,20.754001728,6755919,15.300000191,912004,0,0,0,0,1,23.779907227,7,Democracy,Low,Latin America
Honduras,2005,91,2,0,755300000,20.748892121,6892691,NA,912005,0,0,0,0,1,23.838657379,7,Democracy,Middle,Latin America
El Salvador,1995,92,0,0,347510000,NA,5728340,9.6999998093,921995,0,0,0,0,1,24.000816345,7,Democracy,Low,Latin America
El Salvador,1996,92,1,0,353970000,NA,5787735,9.6999998093,921996,0,0,0,0,1,24.017734528,7,Democracy,Low,Latin America
El Salvador,1997,92,1,0,349800000,NA,5837469,16.5,921997,0,0,0,0,1,24.059318542,7,Democracy,Low,Latin America
El Salvador,1998,92,0,0,240250000,NA,5878844,16.5,921998,0,0,0,0,1,24.096126556,7,Democracy,Low,Latin America
El Salvador,1999,92,3,0,232890000,NA,5914159,18.5,921999,0,0,0,0,1,24.130033493,7,Democracy,Middle,Latin America
,2000,92,NA,NA,NA,NA,NA,NA,922000,0,0,0,0,0,NA,NA,NA,NA,NA
El Salvador,2001,92,0,0,347060000,NA,5972541,10.699999809,922001,0,0,0,0,1,24.168281555,7,Democracy,Low,Latin America
,2002,92,NA,NA,NA,NA,NA,NA,922002,0,0,0,0,0,NA,NA,NA,NA,NA
,2003,92,NA,NA,NA,NA,NA,NA,922003,0,0,0,0,0,NA,NA,NA,NA,NA
,2004,92,NA,NA,NA,NA,NA,NA,922004,0,0,0,0,0,NA,NA,NA,NA,NA
,2005,92,NA,NA,NA,NA,NA,NA,922005,0,0,0,0,0,NA,NA,NA,NA,NA
Nicaragua,1995,93,0,0,784390000,12.76878644,4659448,16.600000381,931995,0,0,0,0,1,22.857906342,8,Democracy,Low,Latin America
Nicaragua,1996,93,0,0,1129660000,12.896385766,4756622,18.5,931996,0,0,0,0,1,22.919418335,8,Democracy,Low,Latin America
,1997,93,NA,NA,NA,NA,NA,NA,931997,0,0,0,0,0,NA,NA,NA,NA,NA
,1998,93,NA,NA,NA,NA,NA,NA,931998,0,0,0,0,0,NA,NA,NA,NA,NA
Nicaragua,1999,93,1,0,920180000,15.227590514,5021072,18.899999619,931999,0,0,0,0,1,23.062755585,8,Democracy,Low,Latin America
Nicaragua,2000,93,0,0,792320000,15.089325753,5100914,18.899999619,932000,0,0,0,0,1,23.102954865,8,Democracy,Low,Latin America
Nicaragua,2001,93,0,0,1535940000,13.860861966,5176700,18.200000763,932001,0,0,0,0,1,23.132133484,8,Democracy,Low,Latin America
Nicaragua,2002,93,0,0,741020000,14.924802079,5248641,18.200000763,932002,0,0,0,0,1,23.139644623,8,Democracy,Low,Latin America
,2003,93,NA,NA,NA,NA,NA,NA,932003,0,0,0,0,0,NA,NA,NA,NA,NA
,2004,93,NA,NA,NA,NA,NA,NA,932004,0,0,0,0,0,NA,NA,NA,NA,NA
,2005,93,NA,NA,NA,NA,NA,NA,932005,0,0,0,0,0,NA,NA,NA,NA,NA
Costa Rica,1995,94,0,0,46770000,NA,3478643,25.600000381,941995,0,0,0,0,1,23.944984436,10,Democracy,Low,Latin America
Costa Rica,1996,94,1,0,-1950000,NA,3566940,25.600000381,941996,0,0,0,0,1,23.953811646,10,Democracy,Low,Latin America
Costa Rica,1997,94,1,0,4970000,NA,3658043,25.600000381,941997,0,0,0,0,1,24.00809288,10,Democracy,Low,Latin America
,1998,94,NA,NA,NA,NA,NA,NA,941998,0,0,0,0,0,NA,NA,NA,NA,NA
,1999,94,NA,NA,NA,NA,NA,NA,941999,0,0,0,0,0,NA,NA,NA,NA,NA
,2000,94,NA,NA,NA,NA,NA,NA,942000,0,0,0,0,0,NA,NA,NA,NA,NA
,2001,94,NA,NA,NA,NA,NA,NA,942001,0,0,0,0,0,NA,NA,NA,NA,NA
,2002,94,NA,NA,NA,NA,NA,NA,942002,0,0,0,0,0,NA,NA,NA,NA,NA
,2003,94,NA,NA,NA,NA,NA,NA,942003,0,0,0,0,0,NA,NA,NA,NA,NA
,2004,94,NA,NA,NA,NA,NA,NA,942004,0,0,0,0,0,NA,NA,NA,NA,NA
,2005,94,NA,NA,NA,NA,NA,NA,942005,0,0,0,0,0,NA,NA,NA,NA,NA
,1995,95,NA,NA,NA,NA,NA,NA,951995,0,0,0,0,0,NA,NA,NA,NA,NA
Panama,1996,95,0,0,48330000,22.94332822,2727291,28.5,951996,0,0,0,0,1,23.704275131,9,Democracy,Low,Latin America
Panama,1997,95,0,0,48450000,21.819714399,2782593,28.5,951997,0,0,0,0,1,23.76688385,9,Democracy,Low,Latin America
,1998,95,NA,NA,NA,NA,NA,NA,951998,0,0,0,0,0,NA,NA,NA,NA,NA
,1999,95,NA,NA,NA,NA,NA,NA,951999,0,0,0,0,0,NA,NA,NA,NA,NA
,2000,95,NA,NA,NA,NA,NA,NA,952000,0,0,0,0,0,NA,NA,NA,NA,NA
,2001,95,NA,NA,NA,NA,NA,NA,952001,0,0,0,0,0,NA,NA,NA,NA,NA
,2002,95,NA,NA,NA,NA,NA,NA,952002,0,0,0,0,0,NA,NA,NA,NA,NA
Panama,2003,95,2,0,32250000,NA,3119453,25,952003,0,0,0,0,1,23.971912384,9,Democracy,NA,Latin America
,2004,95,NA,NA,NA,NA,NA,NA,952004,0,0,0,0,0,NA,NA,NA,NA,NA
Panama,2005,95,0,0,29540000,NA,3231624,NA,952005,0,0,0,0,1,24.113883972,9,Democracy,Low,Latin America
Colombia,1995,100,5,0,205960000,NA,36459011,10.300000191,1001995,0,0,0,0,0,26.222450256,7,Democracy,Middle,NA
Colombia,1996,100,7,0,229160000,NA,37119213,10.300000191,1001996,0,0,0,0,0,26.242799759,7,Democracy,Middle,NA
Colombia,1997,100,13,0,266480000,NA,37782390,10.300000191,1001997,0,0,0,0,0,26.276527405,7,Democracy,High,NA
Colombia,1998,100,6,0,226240000,NA,38447016,17.200000763,1001998,0,0,0,0,0,26.282209396,7,Democracy,Middle,NA
Colombia,1999,100,5,0,393980000,NA,39111030,14.800000191,1001999,0,0,0,0,0,26.23925972,7,Democracy,Middle,NA
Colombia,2000,100,5,0,260840000,NA,39772905,14.800000191,1002000,0,0,0,0,0,26.268089294,7,Democracy,Middle,NA
Colombia,2001,100,5,0,510090000,16.062540435,40431645,14.800000191,1002001,0,0,0,0,0,26.289665222,7,Democracy,Middle,NA
Colombia,2002,100,13,0,565270000,14.800705939,41087424,12.100000381,1002002,0,0,0,0,0,26.313959122,7,Democracy,High,NA
Colombia,2003,100,12,0,929070000,17.621698788,41741289,12.100000381,1002003,0,0,0,0,0,26.359048843,7,Democracy,High,NA
Colombia,2004,100,5,0,578890000,20.26099064,42394904,12.100000381,1002004,0,0,0,0,0,26.404630661,7,Democracy,Middle,NA
Colombia,2005,100,1,1,674480000,23.496295472,43049245,NA,1002005,0,0,0,0,0,26.460264206,7,Democracy,Low,NA
Venezuela,1995,101,22,0,52880000,16.933486183,22043000,18.700000763,1011995,0,0,0,0,0,26.134887695,8,Democracy,High,NA
Venezuela,1996,101,20,0,47200000,20.247472785,22502000,18.700000763,1011996,0,0,0,0,0,26.13290596,8,Democracy,High,NA
Venezuela,1997,101,9,0,3110000,24.41629147,22959000,18.700000763,1011997,0,0,0,0,0,26.194669724,8,Democracy,High,NA
Venezuela,1998,101,6,0,59180000,18.309419635,23413000,12.300000191,1011998,0,0,0,0,0,26.197605133,8,Democracy,NA,NA
Venezuela,1999,101,8,0,65270000,18.960168238,23867000,16.700000763,1011999,0,0,0,0,0,26.136043549,7,Democracy,High,NA
Venezuela,2000,101,5,0,127250000,21.178912111,24311000,16.100000381,1012000,0,0,0,0,0,26.172250748,7,Democracy,Middle,NA
Venezuela,2001,101,2,0,69270000,21.728461969,24765000,11.800000191,1012001,0,0,0,0,0,26.205629349,6,Democracy,Middle,NA
Venezuela,2002,101,2,0,84890000,22.8419207,25220000,11.800000191,1012002,0,0,0,0,0,26.112903595,6,Democracy,Middle,NA
Venezuela,2003,101,3,0,106190000,24.028490648,25674000,11.800000191,1012003,0,0,0,0,0,26.032178879,6,Democracy,Middle,NA
Venezuela,2004,101,9,0,50760000,24.646877604,26127000,14,1012004,0,0,0,0,0,26.200119019,6,Democracy,High,NA
,2005,101,NA,NA,NA,NA,NA,NA,1012005,0,0,0,0,0,NA,NA,NA,NA,NA
,1995,110,NA,NA,NA,NA,NA,NA,1101995,0,0,0,0,0,NA,NA,NA,NA,NA
Guyana,1996,110,1,0,180210000,NA,759254,17.600000381,1101996,0,0,0,0,0,21.267463684,6,Democracy,Low,NA
Guyana,1997,110,0,0,384590000,NA,758564,19.700000763,1101997,0,0,0,0,0,21.327871323,6,Democracy,Low,NA
Guyana,1998,110,0,0,131650000,NA,757323,19.700000763,1101998,0,0,0,0,0,21.310638428,6,Democracy,Low,NA
,1999,110,NA,NA,NA,NA,NA,NA,1101999,0,0,0,0,0,NA,NA,NA,NA,NA
Guyana,2000,110,1,0,171350000,NA,756259,19.700000763,1102000,0,0,0,0,0,21.326042175,6,Democracy,Low,NA
Guyana,2001,110,2,0,163930000,NA,757175,21.100000381,1102001,0,0,0,0,0,21.348293304,6,Democracy,Middle,NA
Guyana,2002,110,1,0,101600000,NA,758834,21.100000381,1102002,0,0,0,0,0,21.358747482,6,Democracy,Low,NA
Guyana,2003,110,1,0,119810000,NA,760850,21.100000381,1102003,0,0,0,0,0,21.348644257,6,Democracy,Low,NA
Guyana,2004,110,1,0,163980000,NA,762654,21.100000381,1102004,0,0,0,0,0,21.381052017,6,Democracy,Low,NA
,2005,110,NA,NA,NA,NA,NA,NA,1102005,0,0,0,0,0,NA,NA,NA,NA,NA
,1995,115,NA,NA,NA,NA,NA,NA,1151995,0,0,0,0,0,NA,NA,NA,NA,NA
,1996,115,NA,NA,NA,NA,NA,NA,1151996,0,0,0,0,0,NA,NA,NA,NA,NA
,1997,115,NA,NA,NA,NA,NA,NA,1151997,0,0,0,0,0,NA,NA,NA,NA,NA
,1998,115,NA,NA,NA,NA,NA,NA,1151998,0,0,0,0,0,NA,NA,NA,NA,NA
,1999,115,NA,NA,NA,NA,NA,NA,1151999,0,0,0,0,0,NA,NA,NA,NA,NA
,2000,115,NA,NA,NA,NA,NA,NA,1152000,0,0,0,0,0,NA,NA,NA,NA,NA
,2001,115,NA,NA,NA,NA,NA,NA,1152001,0,0,0,0,0,NA,NA,NA,NA,NA
,2002,115,NA,NA,NA,NA,NA,NA,1152002,0,0,0,0,0,NA,NA,NA,NA,NA
Suriname,2003,115,0,0,13800000,NA,487301,23.100000381,1152003,0,0,0,0,0,21.716938019,5,Anocracy,Low,NA
,2004,115,NA,NA,NA,NA,NA,NA,1152004,0,0,0,0,0,NA,NA,NA,NA,NA
,2005,115,NA,NA,NA,NA,NA,NA,1152005,0,0,0,0,0,NA,NA,NA,NA,NA
Ecuador,1995,130,6,0,264980000,NA,11406764,16.799999237,1301995,0,0,0,0,0,24.889570236,9,Democracy,NA,NA
Ecuador,1996,130,3,0,312030000,NA,11606142,16.5,1301996,0,0,0,0,0,24.913293839,9,Democracy,NA,NA
Ecuador,1997,130,4,0,209230000,NA,11794811,18.700000763,1301997,0,0,0,0,0,24.953025818,8,Democracy,NA,NA
Ecuador,1998,130,2,0,239790000,NA,11973871,14.199999809,1301998,0,0,0,0,0,24.973934174,9,Democracy,NA,NA
Ecuador,1999,130,8,0,207230000,NA,12145184,14.199999809,1301999,0,0,0,0,0,24.90886879,9,Democracy,High,NA
Ecuador,2000,130,8,0,211890000,NA,12310314,14.199999809,1302000,0,0,0,0,0,24.936511993,6,Democracy,High,NA
Ecuador,2001,130,6,0,267220000,NA,12469838,14.199999809,1302001,0,0,0,0,0,24.988502502,6,Democracy,Middle,NA
Ecuador,2002,130,8,0,310950000,NA,12623953,17.5,1302002,0,0,0,0,0,25.030088425,6,Democracy,High,NA
Ecuador,2003,130,4,0,216630000,NA,12773494,17.5,1302003,0,0,0,0,0,25.065221786,6,Democracy,Middle,NA
Ecuador,2004,130,1,0,177780000,NA,12919359,17.5,1302004,0,0,0,0,0,25.142189026,6,Democracy,Low,NA
Ecuador,2005,130,2,0,252670000,NA,13062507,NA,1302005,0,0,0,0,0,25.200487137,6,Democracy,Middle,NA
Peru,1995,135,6,0,447970000,17.362686174,23943275,11.199999809,1351995,0,0,0,0,0,25.565742493,1,Anocracy,Middle,NA
Peru,1996,135,5,0,407490000,18.185327856,24367206,11.199999809,1351996,0,0,0,0,0,25.590612411,1,Anocracy,Middle,NA
Peru,1997,135,12,1,526650000,18.329127819,24787466,11.199999809,1351997,0,0,0,0,0,25.657001495,1,Anocracy,High,NA
Peru,1998,135,7,1,668220000,18.344512356,25202027,11.199999809,1351998,0,0,0,0,0,25.650400162,1,Anocracy,Middle,NA
Peru,1999,135,13,1,523670000,17.235884597,25608226,11.199999809,1351999,0,0,0,0,0,25.659498215,1,Anocracy,High,NA
Peru,2000,135,11,1,462180000,17.411204263,26004162,8.5,1352000,0,0,0,0,0,25.688577652,5,Anocracy,High,NA
Peru,2001,135,5,1,567940000,16.62203216,26389531,18.899999619,1352001,0,0,0,0,0,25.690725327,9,Democracy,NA,NA
Peru,2002,135,1,1,639310000,16.17671783,26764956,18.899999619,1352002,0,0,0,0,0,25.739707947,9,Democracy,Low,NA
Peru,2003,135,2,1,604560000,16.54446371,27130720,18.899999619,1352003,0,0,0,0,0,25.779237747,9,Democracy,NA,NA
Peru,2004,135,1,1,507240000,16.483234208,27487438,18.899999619,1352004,0,0,0,0,0,25.827806473,9,Democracy,Low,NA
Peru,2005,135,2,1,494020000,17.627301958,27835927,NA,1352005,0,0,0,0,0,25.893844604,9,Democracy,NA,NA
Brazil,1995,140,12,1,292620000,NA,161691994,25.700000763,1401995,0,0,0,0,0,27.853248596,8,Democracy,High,NA
Brazil,1996,140,15,1,321680000,NA,164156558,25.700000763,1401996,0,0,0,0,0,27.874519348,8,Democracy,High,NA
Brazil,1997,140,15,1,337950000,NA,166649884,25.700000763,1401997,0,0,0,0,0,27.907712936,8,Democracy,High,NA
Brazil,1998,140,19,1,358310000,NA,169161808,27.399999619,1401998,0,0,0,0,0,27.908090591,8,Democracy,High,NA
Brazil,1999,140,28,1,133700000,NA,171675320,27.399999619,1401999,0,0,0,0,0,27.910596848,8,Democracy,High,NA
Brazil,2000,140,21,1,276290000,NA,174174447,27.399999619,1402000,0,0,0,0,0,27.952775955,8,Democracy,High,NA
Brazil,2001,140,22,1,335890000,NA,176659138,27.399999619,1402001,0,0,0,0,0,27.965795517,8,Democracy,High,NA
Brazil,2002,140,9,1,278260000,NA,179123364,27,1402002,0,0,0,0,0,27.992031097,8,Democracy,High,NA
Brazil,2003,140,7,1,237770000,NA,181537359,27,1402003,0,0,0,0,0,28.003433228,8,Democracy,NA,NA
Brazil,2004,140,10,1,174400000,NA,183863524,27,1402004,0,0,0,0,0,28.059020996,8,Democracy,High,NA
Brazil,2005,140,10,1,271160000,5.5203077068,186074634,NA,1402005,0,0,0,0,0,28.090116501,8,Democracy,High,NA
Bolivia,1995,145,15,0,860570000,NA,7484182,15.399999619,1451995,0,0,0,0,0,23.896120071,9,Democracy,High,NA
Bolivia,1996,145,5,0,1016070000,NA,7649893,15.399999619,1451996,0,0,0,0,0,23.938810349,9,Democracy,NA,NA
Bolivia,1997,145,3,0,928010000,NA,7815308,20.200000763,1451997,0,0,0,0,0,23.987163544,9,Democracy,NA,NA
Bolivia,1998,145,2,0,876700000,NA,7981049,22.200000763,1451998,0,0,0,0,0,24.036233902,9,Democracy,NA,NA
Bolivia,1999,145,3,0,786590000,NA,8148173,22.200000763,1451999,0,0,0,0,0,24.040493011,9,Democracy,NA,NA
Bolivia,2000,145,6,0,693760000,NA,8317371,22.200000763,1452000,0,0,0,0,0,24.065261841,9,Democracy,NA,NA
Bolivia,2001,145,9,0,1111470000,NA,8488714,22.200000763,1452001,0,0,0,0,0,24.081960678,9,Democracy,High,NA
Bolivia,2002,145,6,0,984460000,18.377051549,8661639,24.399999619,1452002,0,0,0,0,0,24.10651207,9,Democracy,NA,NA
,2003,145,NA,NA,NA,NA,NA,NA,1452003,0,0,0,0,0,NA,NA,NA,NA,NA
Bolivia,2004,145,0,0,888670000,20.242405284,9009162,27.899999619,1452004,0,0,0,0,0,24.174150467,8,Democracy,Low,NA
